,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
143,stop_on_plateau,1.5659018122613964,243,39,127.62872826339853,39,40.0,37.33140301704407,0.1,8
144,hyperband,1.1734723985854936,27,49,3.039032003792728,357,,4.068504095077515,,16
145,hyperband,1.3177507782431397,27,49,2.128842386767533,357,,2.849987745285034,,16
146,hyperband,1.255630691802175,27,49,2.3341003474957693,357,,3.124776840209961,,16
147,hyperband,1.1893180805956867,27,49,2.1441426709029967,357,,2.8704710006713867,,16
148,hyperband,1.4880955426688116,27,49,2.098966112323836,357,,2.809990882873535,,16
149,hyperband,1.2168039396354333,27,49,2.129089932481782,357,,2.8503191471099854,,16
150,hyperband,1.1733154518982736,27,49,2.2729246778871057,357,,3.0428779125213623,,16
151,hyperband,1.2064865310730244,27,49,2.143634935053123,357,,2.869791269302368,,16
152,hyperband,1.0818594674382345,27,49,2.14301233086822,357,,2.868957757949829,,16
153,hyperband,1.35794004022446,27,49,2.1916167742731862,357,,2.9340269565582275,,16
154,hyperband,1.194049243151032,27,49,2.1310596127692616,357,,2.8529560565948486,,16
155,hyperband,1.2326680255735603,27,49,2.1185971998255684,357,,2.8362720012664795,,16
156,stop_on_plateau,0.6931095689843279,27,13,49.505351139948914,13,10.0,2.4133858680725098,0.01,16
157,stop_on_plateau,0.5438540094424441,27,13,50.40543874104817,13,10.0,2.4572651386260986,0.1,16
158,stop_on_plateau,0.9839677567328612,27,13,46.04655534793169,13,20.0,2.24476957321167,0.01,16
159,stop_on_plateau,1.0503829802281546,27,13,47.68130962665264,13,20.0,2.3244638442993164,0.1,16
160,stop_on_plateau,1.4855298223702567,27,13,46.84976431039663,13,40.0,2.283926010131836,0.01,16
161,stop_on_plateau,1.0976655011151044,27,13,50.96715780404897,13,40.0,2.4846489429473877,0.1,16
162,stop_on_plateau,1.2598160447854896,27,26,36.53736359033829,26,10.0,3.5623929500579834,0.01,16
163,stop_on_plateau,1.5407473045511113,27,26,29.39496407142052,26,10.0,2.866008996963501,0.1,16
164,stop_on_plateau,0.9298478753326527,27,26,41.3451781639686,26,20.0,4.0311548709869385,0.01,16
165,stop_on_plateau,1.0072097086762692,27,26,37.66302451109275,26,20.0,3.672144889831543,0.1,16
166,stop_on_plateau,1.3086901539098286,27,26,41.761280940129204,26,40.0,4.071724891662598,0.01,16
167,stop_on_plateau,1.1263404057614799,27,26,38.15570244422326,26,40.0,3.7201809883117676,0.1,16
168,hyperband,1.4955343817894213,81,143,1.741675880169934,1581,,10.325960874557495,,16
169,hyperband,1.325667148273126,81,143,1.703300009592158,1581,,10.098439931869507,,16
170,hyperband,1.6931839272163096,81,143,1.7101292667473365,1581,,10.138928890228271,,16
171,hyperband,1.4400899123203144,81,143,1.755462154265373,1581,,10.40769624710083,,16
172,hyperband,1.4046192148822902,81,143,1.6850931745477298,1581,,9.990496158599854,,16
173,hyperband,1.4381733281965343,81,143,1.7312028351248303,1581,,10.263868808746338,,16
174,hyperband,1.5268268580465423,81,143,1.6808151721250602,1581,,9.96513295173645,,16
175,hyperband,1.5811811105196687,81,143,1.7560074154948122,1581,,10.410928964614868,,16
176,hyperband,1.509345632594278,81,143,1.6652585986091346,1581,,9.872901916503906,,16
177,hyperband,1.4911170104845548,81,143,1.70903564781271,1581,,10.132445096969604,,16
178,hyperband,1.312940577866106,81,143,1.7249037589600587,1581,,10.226523160934448,,16
179,hyperband,1.628609709733946,81,143,1.7303811028464646,1581,,10.258996963500977,,16
180,stop_on_plateau,1.3781036685009944,81,19,107.9524926971971,19,10.0,7.691615104675293,0.01,16
181,stop_on_plateau,1.4819074614453027,81,19,58.2723617553711,19,10.0,4.15190577507019,0.1,16
182,stop_on_plateau,1.5151564746330086,81,19,127.3169567710475,19,20.0,9.071333169937134,0.01,16
183,stop_on_plateau,1.2846909239184736,81,19,87.62720007645457,19,20.0,6.243438005447388,0.1,16
184,stop_on_plateau,1.325962365558191,81,19,127.07439891079017,19,40.0,9.054050922393799,0.01,16
185,stop_on_plateau,1.1104679796116201,81,19,120.760757044742,19,40.0,8.604203939437866,0.1,16
186,stop_on_plateau,1.3718768777965538,81,39,99.14039546607907,39,10.0,14.499282836914062,0.01,16
187,stop_on_plateau,1.5052183431866006,81,39,49.041231269510384,39,10.0,7.1722800731658936,0.1,16
188,stop_on_plateau,1.2544680058366806,81,39,114.63655977167636,39,20.0,16.765596866607666,0.01,16
189,stop_on_plateau,1.3828600840952652,81,39,85.38971599350629,39,20.0,12.488245964050293,0.1,16
190,stop_on_plateau,1.4583730805012425,81,39,118.97580888536243,39,40.0,17.400212049484253,0.01,16
191,stop_on_plateau,1.6079601795179488,81,39,106.46772792196683,39,40.0,15.570905208587646,0.1,16
192,hyperband,1.8687340891889912,243,143,1.6099059177103512,4743,,28.634189128875732,,16
193,hyperband,2.0411871979063774,243,143,1.6262740091560715,4743,,28.925316095352173,,16
194,hyperband,1.6409188074062733,243,143,1.5993244826094115,4743,,28.445985078811646,,16
195,hyperband,1.5332449252222555,243,143,1.6097473004050447,4743,,28.631367921829224,,16
196,hyperband,1.5345654288131931,243,143,1.6233442069122082,4743,,28.87320590019226,,16
197,hyperband,1.7583096943179912,243,143,1.6010782540879185,4743,,28.47717809677124,,16
198,hyperband,1.5984608071100506,243,143,1.6500382004840468,4743,,29.347991943359375,,16
199,hyperband,1.6995742512387773,243,143,1.589045027619513,4743,,28.26315212249756,,16
200,hyperband,1.4964251044935806,243,143,1.6420758074656485,4743,,29.20637083053589,,16
201,hyperband,1.6299557014060873,243,143,1.606005309998541,4743,,28.564811944961548,,16
202,hyperband,1.7689956913490286,243,143,1.6422086610203592,4743,,29.208733797073364,,16
203,hyperband,1.5374736776743005,243,143,1.6282166790598618,4743,,28.959868907928467,,16
204,stop_on_plateau,1.2922032563021864,243,19,287.7599013479133,19,10.0,20.50289297103882,0.01,16
205,stop_on_plateau,1.4637169828031262,243,19,59.86150105794271,19,10.0,4.265131950378418,0.1,16
206,stop_on_plateau,1.1225999370206987,243,19,298.02505091616985,19,20.0,21.2342848777771,0.01,16
207,stop_on_plateau,1.108384997412116,243,19,128.85218503182395,19,20.0,9.180718183517456,0.1,16
208,stop_on_plateau,1.2683547384153815,243,19,314.74007054379115,19,40.0,22.425230026245117,0.01,16
209,stop_on_plateau,1.518835772415934,243,19,220.47915542334843,19,40.0,15.709139823913574,0.1,16
210,stop_on_plateau,1.6121808096559613,243,39,202.74351397131244,39,10.0,29.651238918304443,0.01,16
211,stop_on_plateau,1.5788095249465297,243,39,51.32904704819378,39,10.0,7.50687313079834,0.1,16
212,stop_on_plateau,1.5257642794324793,243,39,227.99567850227032,39,20.0,33.34436798095703,0.01,16
213,stop_on_plateau,1.5164916043741397,243,39,84.24359020004925,39,20.0,12.320625066757202,0.1,16
214,stop_on_plateau,1.4999977601332593,243,39,245.75918474767963,39,40.0,35.942280769348145,0.01,16
215,stop_on_plateau,1.279522575916171,243,39,164.8842053535657,39,40.0,24.114315032958984,0.1,16
216,hyperband,1.1769601477601261,27,49,5.628462220663005,357,,3.767551898956299,,32
217,hyperband,1.1493265114439437,27,49,4.353237063054388,357,,2.9139480590820312,,32
218,hyperband,1.406784667549896,27,49,3.7616943444858415,357,,2.51798415184021,,32
219,hyperband,1.049677473729047,27,49,3.682428782059699,357,,2.464925765991211,,32
