,alg,best_score_max,best_score_mean,best_score_median,best_score_min,best_score_std,patience,tol,wall_time (min),wall_time (s)
34,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,7.947285970052083e-08,4.76837158203125e-06
35,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,8.344650268554687e-08,5.0067901611328125e-06
36,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,8.742014567057291e-08,5.245208740234375e-06
37,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,9.139378865559896e-08,5.4836273193359375e-06
38,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,0.018158106009165446,1.0894863605499268
39,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,0.018158113956451415,1.089486837387085
40,hyperband-p20,-0.12582096457481384,-0.13401833673318228,-0.129619762301445,-0.14661428332328796,0.009040690199225609,20,0.0,0.018158117930094402,1.089487075805664
41,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.018158121903737386,1.0894873142242432
42,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.018158129851023355,1.0894877910614014
43,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.057238380114237465,3.434302806854248
44,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.057238392035166424,3.4343035221099854
45,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723839600880941,3.4343037605285645
46,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723840395609538,3.4343042373657227
47,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723840792973836,3.4343044757843018
48,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.057238411903381345,3.434304714202881
49,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.057238415877024336,3.43430495262146
50,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723841985066732,3.434305191040039
51,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.057238423824310304,3.434305429458618
52,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723842779795329,3.4343056678771973
53,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723843177159627,3.4343059062957764
54,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723843177159627,3.4343059062957764
55,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723843971888224,3.4343063831329346
56,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.05723843971888224,3.4343063831329346
57,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.057238443692525225,3.4343066215515137
58,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303245862325033,13.38194751739502
59,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303247054417927,13.381948232650757
60,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303247054417927,13.381948232650757
61,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303247451782227,13.381948471069336
62,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303247451782227,13.381948471069336
63,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303247849146526,13.381948709487915
64,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303248643875123,13.381949186325073
65,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.22303248643875123,13.381949186325073
66,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.2318336566289266,13.910019397735596
67,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.23183366854985554,13.910020112991333
68,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.23183367252349854,13.910020351409912
69,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.2318336764971415,13.910020589828491
70,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.2318336804707845,13.91002082824707
71,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.39463268518447875,23.677961111068726
72,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.39463269313176474,23.677961587905884
73,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.3946326971054077,23.677961826324463
74,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.3946327010790507,23.677962064743042
75,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.3946327050526937,23.67796230316162
76,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.3946327090263367,23.6779625415802
77,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.39463271299997965,23.67796277999878
78,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.3946327169736226,23.67796301841736
79,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.43876235485076903,26.325741291046143
80,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.43876237074534097,26.32574224472046
81,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.438762374718984,26.325742483139038
82,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.43876237869262696,26.325742721557617
83,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.43876238266626993,26.325742959976196
84,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634335517883,28.6598060131073
85,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634414990743,28.659806489944458
86,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634454727173,28.659806728363037
87,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634454727173,28.659806728363037
88,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766344944636024,28.659806966781616
89,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766345342000327,28.659807205200195
90,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766345739364624,28.659807443618774
91,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766345739364624,28.659807443618774
92,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634613672892,28.659807682037354
93,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766346534093224,28.659807920455933
94,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766346534093224,28.659807920455933
95,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634693145752,28.65980815887451
96,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634693145752,28.65980815887451
97,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634732882182,28.65980839729309
98,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766347726186115,28.65980863571167
99,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766348520914714,28.659809112548828
100,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634891827901,28.659809350967407
101,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634931564331,28.659809589385986
102,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634931564331,28.659809589385986
103,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634971300761,28.659809827804565
104,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776634971300761,28.659809827804565
105,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776635011037191,28.659810066223145
106,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.4776635011037191,28.659810066223145
107,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766350507736205,28.659810304641724
108,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766350507736205,28.659810304641724
109,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663509051005,28.659810543060303
110,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663509051005,28.659810543060303
111,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766351302464805,28.659810781478882
112,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.47766351302464805,28.659810781478882
113,hyperband-p20,-0.11392977088689804,-0.12312349925438563,-0.12582096457481384,-0.129619762301445,0.006683372253252796,20,0.0,0.477663516998291,28.65981101989746
