,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,repeat,time,tol,workers
250,stop_on_plateau,0.056615661110311764,81,19,36.9355633384303,19,25,2,4.386098146438599,0.1,16
251,hyperband,0.085632708389978,81,143,1.6504646508773617,1581,25,2,16.308653831481934,0.1,16
252,stop_on_plateau,0.07020942222138243,243,19,33.46249429803145,19,25,2,3.9736711978912354,0.1,16
253,hyperband,0.3167752969108004,243,143,1.5124295045875582,4743,25,2,44.83408212661743,0.1,16
254,stop_on_plateau,0.051118684825770845,9,7,41.711450304303845,7,25,2,1.2165839672088623,0.1,24
255,hyperband,0.05255103031910317,9,17,8.51325574128524,69,25,2,2.447561025619507,0.1,24
256,stop_on_plateau,0.054887202504315065,27,13,57.43521176851713,13,25,2,3.1110739707946777,0.1,24
257,hyperband,0.05731008005937775,27,49,3.517848102986312,357,25,2,5.232799053192139,0.1,24
258,stop_on_plateau,0.06853778631881582,81,19,43.78685097945363,19,25,2,3.466459035873413,0.1,24
259,hyperband,0.11249687554363723,81,143,2.0678958132778216,1581,25,2,13.622263669967651,0.1,24
260,stop_on_plateau,0.04495807514693076,243,19,40.45877356278268,19,25,2,3.202986240386963,0.1,24
261,hyperband,0.22287931657668672,243,143,1.8940121399157415,4743,25,2,37.43041491508484,0.1,24
262,stop_on_plateau,0.040928168820902014,9,7,55.62734331403459,7,25,2,1.2168481349945068,0.1,32
263,hyperband,0.05222922553997237,9,17,12.104185906009397,69,25,2,2.6099650859832764,0.1,32
264,stop_on_plateau,0.0642998028426088,27,13,75.47505305363582,13,25,2,3.066174030303955,0.1,32
265,hyperband,0.05172801289799722,27,49,4.635269207780768,357,25,2,5.17122220993042,0.1,32
266,stop_on_plateau,0.05798271199655711,81,19,57.36455013877467,19,25,2,3.406020164489746,0.1,32
267,hyperband,0.14172841337522762,81,143,2.5811197183163834,1581,25,2,12.752344608306885,0.1,32
268,stop_on_plateau,0.05435185025153624,243,19,52.11461117393092,19,25,2,3.0943050384521484,0.1,32
269,hyperband,0.377282455777298,243,143,2.325655016093824,4743,25,2,34.47056794166565,0.1,32
270,stop_on_plateau,0.05162573673820694,9,7,69.56868852887834,7,25,2,1.217452049255371,0.1,40
271,hyperband,0.05162773736907291,9,17,14.103705641152201,69,25,2,2.432889223098755,0.1,40
