,Unnamed: 0,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
657,657.0,hyperband,1.2303475966185404,27,49,7.2458489824966446,357,,2.4250950813293457,,64
658,658.0,hyperband,1.5491453583011392,27,49,7.238899181091707,357,,2.422769069671631,,64
659,659.0,hyperband,1.0319785351844208,27,49,7.293143392610951,357,,2.440923929214477,,64
660,660.0,stop_on_plateau,1.131918861954332,27,13,214.41558446639627,13,10.0,2.613189935684204,0.01,64
661,661.0,stop_on_plateau,1.2537703819283137,27,13,184.07352154071515,13,10.0,2.243396043777466,0.1,64
662,662.0,stop_on_plateau,1.126921649321857,27,13,182.28094638922275,13,20.0,2.2215490341186523,0.01,64
663,663.0,stop_on_plateau,1.3065808822047758,27,13,184.6773978991386,13,20.0,2.250755786895752,0.1,64
664,664.0,stop_on_plateau,1.0268619274072674,27,13,183.17423111353162,13,40.0,2.232435941696167,0.01,64
665,665.0,stop_on_plateau,0.8116677258811721,27,13,207.869622646234,13,40.0,2.533411026000977,0.1,64
666,666.0,stop_on_plateau,0.970626222482326,27,26,93.48558279184195,26,10.0,2.2787110805511475,0.01,64
667,667.0,stop_on_plateau,1.1642483444127414,27,26,92.26884108323317,26,10.0,2.2490530014038086,0.1,64
668,668.0,stop_on_plateau,1.0226441211205881,27,26,105.10075887044269,26,20.0,2.561830997467041,0.01,64
669,669.0,stop_on_plateau,1.5606980525677332,27,26,92.75262294671472,26,20.0,2.260845184326172,0.1,64
670,670.0,stop_on_plateau,1.2640218896031614,27,26,105.23638603014824,26,40.0,2.5651369094848637,0.01,64
671,671.0,stop_on_plateau,1.3856822684349477,27,26,93.46248920147237,26,40.0,2.2781481742858887,0.1,64
672,672.0,hyperband,1.5012605583626717,81,143,4.7533817440051465,1581,,7.045403003692628,,64
673,673.0,hyperband,1.4668386213003315,81,143,4.966259706430035,1581,,7.360928058624268,,64
674,674.0,hyperband,1.772554817523021,81,143,4.95030955878235,1581,,7.337286949157715,,64
675,675.0,hyperband,1.2667320689285793,81,143,4.6956413988068775,1581,,6.959820985794067,,64
676,676.0,hyperband,1.3924497599275625,81,143,4.992511225681679,1581,,7.399837732315063,,64
677,677.0,hyperband,1.5731052449329808,81,143,4.7522927496771565,1581,,7.0437889099121085,,64
678,678.0,hyperband,1.3915291758832016,81,143,4.945345546232606,1581,,7.3299293518066415,,64
679,679.0,hyperband,1.6475520387187834,81,143,4.926943472360172,1581,,7.302654027938843,,64
680,680.0,hyperband,1.644593283715221,81,143,4.777639937154508,1581,,7.081358194351196,,64
681,681.0,hyperband,1.4722999584512744,81,143,4.9808914792605545,1581,,7.382615089416504,,64
682,682.0,hyperband,1.62180826985294,81,143,4.767689713943163,1581,,7.066610097885133,,64
683,683.0,hyperband,1.5145352134716008,81,143,4.9636776477959295,1581,,7.357100963592528,,64
684,684.0,stop_on_plateau,1.2910435015138,81,19,356.1822188527961,19,10.0,6.34449577331543,0.01,64
685,685.0,stop_on_plateau,1.2329763729413876,81,19,242.70388954564143,19,10.0,4.323163032531738,0.1,64
686,686.0,stop_on_plateau,1.5523241043417286,81,19,353.3796076189008,19,20.0,6.29457426071167,0.01,64
687,687.0,stop_on_plateau,1.2519785468549842,81,19,375.26994671737936,19,20.0,6.68449592590332,0.1,64
688,688.0,stop_on_plateau,1.3121240643890126,81,19,368.9261453193531,19,40.0,6.5714969635009775,0.01,64
689,689.0,stop_on_plateau,1.3240728295557411,81,19,353.56508221542634,19,40.0,6.29787802696228,0.1,64
690,690.0,stop_on_plateau,1.2529900333261252,81,39,200.7440420297476,39,10.0,7.3397040367126465,0.01,64
691,691.0,stop_on_plateau,1.3104707431583849,81,39,137.81177488147705,39,10.0,5.038743019104004,0.1,64
692,692.0,stop_on_plateau,1.701045565730181,81,39,204.0317502796141,39,20.0,7.459910869598389,0.01,64
693,693.0,stop_on_plateau,1.473266863735791,81,39,188.06186904255142,39,20.0,6.876012086868286,0.1,64
694,694.0,stop_on_plateau,1.3391282864103629,81,39,194.56060034597027,39,40.0,7.113621950149536,0.01,64
695,695.0,stop_on_plateau,1.3358030335604627,81,39,207.48570108006146,39,40.0,7.586195945739746,0.1,64
696,696.0,hyperband,1.7041616814165237,243,143,4.605408540570616,4743,,20.47823691368103,,64
697,697.0,hyperband,1.4655817466178311,243,143,4.622316209671244,4743,,20.553417921066284,,64
698,698.0,hyperband,1.500306408965524,243,143,4.579437017792667,4743,,20.36275291442871,,64
699,699.0,hyperband,1.5731609707253802,243,143,4.6757400408675185,4743,,20.790970325469967,,64
700,700.0,hyperband,1.5821191644441437,243,143,4.562950844724161,4743,,20.289446115493774,,64
701,701.0,hyperband,1.671336442265556,243,143,4.574446839352621,4743,,20.340563774108887,,64
702,702.0,hyperband,1.78730430863156,243,143,4.591879702911281,4743,,20.41808009147644,,64
703,703.0,hyperband,1.6345358894931077,243,143,4.557500940170465,4743,,20.265212774276733,,64
704,704.0,hyperband,1.5420333719052763,243,143,4.5832734306025,4743,,20.379811763763424,,64
705,705.0,hyperband,1.5735180905665285,243,143,4.5864991272431626,4743,,20.394155025482174,,64
706,706.0,hyperband,1.5500663551585272,243,143,4.570206571039174,4743,,20.321709156036373,,64
707,707.0,hyperband,1.5938252989322268,243,143,4.675317633318729,4743,,20.78909206390381,,64
708,708.0,stop_on_plateau,1.174087373479853,243,19,1047.856006287692,19,10.0,18.66493511199951,0.01,64
709,709.0,stop_on_plateau,1.3482702086950948,243,19,233.3805418851083,19,10.0,4.157090902328491,0.1,64
710,710.0,stop_on_plateau,1.5854512795549531,243,19,1074.8498481616639,19,20.0,19.145762920379642,0.01,64
711,711.0,stop_on_plateau,1.313448267189491,243,19,417.0720418294271,19,20.0,7.42909574508667,0.1,64
712,712.0,stop_on_plateau,1.4769428651118754,243,19,1074.9289529365408,19,40.0,19.14717197418213,0.01,64
713,713.0,stop_on_plateau,1.117323168634332,243,19,716.6018837376645,19,40.0,12.764471054077148,0.1,64
714,714.0,stop_on_plateau,1.2968626628353912,243,39,550.731430705796,39,10.0,20.136117935180664,0.01,64
715,715.0,stop_on_plateau,1.3624285291862237,243,39,115.45189099434096,39,10.0,4.221209764480592,0.1,64
716,716.0,stop_on_plateau,1.5810533475677488,243,39,555.3039029113248,39,20.0,20.303298950195312,0.01,64
717,717.0,stop_on_plateau,1.5374987388263959,243,39,223.7393501477364,39,20.0,8.180469989776611,0.1,64
718,718.0,stop_on_plateau,1.5385184314765459,243,39,553.146225366837,39,40.0,20.224408864974976,0.01,64
719,719.0,stop_on_plateau,1.8305183076969576,243,39,396.4998881022136,39,40.0,14.497027158737184,0.1,64
720,720.0,hyperband,1.2138782269612332,27,49,1.5582341551224168,357,,8.344343900680544,,4
721,721.0,hyperband,1.139746803088144,27,49,1.3564657430354956,357,,7.263874053955077,,4
722,722.0,hyperband,1.2826489355140307,27,49,1.437790164537902,357,,7.699366331100464,,4
723,723.0,hyperband,1.2971714096460707,27,49,1.4371339012594786,357,,7.695852041244508,,4
724,724.0,hyperband,1.3661242492401937,27,49,1.4529615557160365,357,,7.780609130859375,,4
725,725.0,hyperband,1.175977721480128,27,49,1.5195378179754977,357,,8.137125015258789,,4
726,726.0,hyperband,1.0232292552174849,27,49,1.4656115869402777,357,,7.8483500480651855,,4
727,727.0,hyperband,1.1658411547107057,27,49,1.4946005257571784,357,,8.003585815429688,,4
728,728.0,hyperband,1.1937388008102099,27,49,1.4635775714806594,357,,7.8374578952789316,,4
729,729.0,hyperband,1.1775311214161492,27,49,1.4568248271496913,357,,7.801296949386598,,4
730,730.0,hyperband,1.2557288144948244,27,49,1.4936003698354343,357,,7.99822998046875,,4
731,731.0,hyperband,1.3134436954760669,27,49,1.4537533012981398,357,,7.784848928451537,,4
732,732.0,stop_on_plateau,1.4831523028187188,27,13,32.625096883529274,13,10.0,6.361893892288207,0.01,4
733,733.0,stop_on_plateau,0.9461691458303484,27,13,27.157096373729214,13,10.0,5.295633792877197,0.1,4
734,734.0,stop_on_plateau,0.8836484069816457,27,13,34.68902049920498,13,20.0,6.764358997344972,0.01,4
735,735.0,stop_on_plateau,0.8728042669775117,27,13,33.21112241500463,13,20.0,6.476168870925902,0.1,4
736,736.0,stop_on_plateau,0.6600512304609366,27,13,35.10619310232309,13,40.0,6.845707654953003,0.01,4
737,737.0,stop_on_plateau,1.0465337736291045,27,13,33.84150725144605,13,40.0,6.599093914031982,0.1,4
738,738.0,stop_on_plateau,1.2339721839656037,27,26,31.964954351767517,26,10.0,12.466332197189331,0.01,4
739,739.0,stop_on_plateau,1.2610489996888927,27,26,25.113441393925594,26,10.0,9.79424214363098,0.1,4
740,740.0,stop_on_plateau,0.977880158213114,27,26,33.01580808101557,26,20.0,12.87616515159607,0.01,4
741,741.0,stop_on_plateau,1.1718490319390864,27,26,31.78122043609619,26,20.0,12.394675970077515,0.1,4
742,742.0,stop_on_plateau,0.8074921113330438,27,26,32.99283859057305,26,40.0,12.867207050323485,0.01,4
743,743.0,stop_on_plateau,1.203815928502203,27,26,33.44503060365334,26,40.0,13.043561935424805,0.1,4
744,744.0,hyperband,1.6798409058247366,81,143,1.296921065907777,1581,,30.75648307800293,,4
745,745.0,hyperband,1.6571602111159538,81,143,1.3228815465995891,1581,,31.37213587760925,,4
746,746.0,hyperband,1.7057550556270886,81,143,1.307978027861706,1581,,31.01869893074036,,4
747,747.0,hyperband,1.6651817643912907,81,143,1.3168632041646438,1581,,31.22941088676453,,4
748,748.0,hyperband,1.5127337755758463,81,143,1.335981901049388,1581,,31.68281078338623,,4
749,749.0,hyperband,1.4063979991725388,81,143,1.2897561829526942,1581,,30.586567878723145,,4
750,750.0,hyperband,1.6614623331360534,81,143,1.3421492261924801,1581,,31.829068899154663,,4
751,751.0,hyperband,1.5545932237754887,81,143,1.3251303319510794,1581,,31.425465822219852,,4
752,752.0,hyperband,1.4989969170850488,81,143,1.321636441637136,1581,,31.342608213424683,,4
753,753.0,hyperband,1.3077619594854224,81,143,1.3042612315078792,1581,,30.93055510520935,,4
754,754.0,hyperband,1.5140523327285342,81,143,1.3477750802728763,1581,,31.962486028671265,,4
755,755.0,hyperband,1.3182952101567742,81,143,1.3240793096649728,1581,,31.400540828704834,,4
756,756.0,stop_on_plateau,1.6865087601416506,81,19,88.91244101942631,19,10.0,25.3400456905365,0.01,4
757,757.0,stop_on_plateau,1.3790744194138942,81,19,36.099062467876244,19,10.0,10.288232803344727,0.1,4
758,758.0,stop_on_plateau,1.1567464770613312,81,19,96.00143432617188,19,20.0,27.360408782958984,0.01,4
759,759.0,stop_on_plateau,1.3306486823358603,81,19,60.460273006506135,19,20.0,17.231177806854248,0.1,4
760,760.0,stop_on_plateau,1.323169975616615,81,19,95.60117888868902,19,40.0,27.24633598327637,0.01,4
761,761.0,stop_on_plateau,1.4590741772335136,81,19,89.92432627761573,19,40.0,25.628432989120483,0.1,4
762,762.0,stop_on_plateau,1.3912485335948857,81,39,82.54536604269957,39,10.0,48.28903913497925,0.01,4
763,763.0,stop_on_plateau,1.4737571542711234,81,39,27.989755940233547,39,10.0,16.374007225036618,0.1,4
764,764.0,stop_on_plateau,1.4641945209944598,81,39,94.16845109727647,39,20.0,55.08854389190674,0.01,4
